Source,Target,Weight
OTHELL_YARWYCK,PYP,2.0
OTHOR,PYP,2.0
OTHOR,SAM,2.0
PYCELLE,TYWIN,28.0
PYCELLE,YOREN,2.0
RANDYLL,SAM,30.0
RENLY,TOMARD,2.0
RHAEGAR,ROBERT,6.0
RHAEGO,VISERYS,2.0
RICKARD_KARSTARK,ROBB,52.0
RICKARD_KARSTARK,THEON,4.0
ROBB,STANNIS,11.0
ROBB,VARYS,4.0
ROBERT,ROS,2.0
ROBERT,TOMMEN,4.0
RODRIK,TYWIN,2.0
SANSA,STANNIS,8.0
STANNIS,TOMARD,2.0
THEON,WILL,2.0
TYRION,TYSHA,2.0
TYRION,VARYS,511.0
ARYA,JAQEN,346.0
DAVOS,STANNIS,316.0
JON,YGRITTE,286.0
ROBB,TALISA,197.0
ARYA,TYWIN,103.0
THEON,YARA,218.0
DAENERYS,XARO,80.0
JON,QHORIN,73.0
SANSA,SHAE,122.0
DAENERYS,SPICE_KING,58.0
DAVOS,MATTHOS,59.0
MELISANDRE,STANNIS,171.0
BRIENNE,CATELYN,73.0
BRIENNE,JAIME,397.0
PYCELLE,TYRION,64.0
DAGMER,THEON,48.0
ALTON,JAIME,48.0
DAVOS,MELISANDRE,183.0
JANOS,TYRION,39.0
LORAS,TYRION,51.0
LANCEL,TYRION,37.0
PODRICK,TYRION,186.0
MARGAERY,RENLY,39.0
EDDISON_TOLLETT,SAM,72.0
ROBB,ROOSE_BOLTON,51.0
BRIENNE,RENLY,39.0
DAENERYS,KOVARRO,31.0
CATELYN,RENLY,30.0
CRASTER,JEOR,46.0
LITTLEFINGER,MARGAERY,28.0
QHORIN,YGRITTE,28.0
DAVOS,SALLADHOR,69.0
EDDISON_TOLLETT,GRENN,70.0
CERSEI,TOMMEN,160.0
SANSA,TYRION,249.0
GILLY,SAM,392.0
DAENERYS,PYATT_PREE,23.0
LORAS,MARGAERY,115.0
ALTON,ROBB,22.0
ROS,VARYS,47.0
BLACK_LORREN,THEON,21.0
CERSEI,SHAE,28.0
MATTHOS,STANNIS,21.0
SPICE_KING,XARO,20.0
STANNIS,TYRION,20.0
JORAH,QUAITHE,18.0
CAPTAINS_DAUGHTER,THEON,17.0
CATELYN,RICKARD_KARSTARK,22.0
CRASTER,JON,28.0
DAISY,ROS,17.0
AMORY,ARYA,16.0
ARYA,RORGE,20.0
CRESSEN,DAVOS,16.0
HODOR,RICKON,25.0
LORD_OF_BONES,YGRITTE,20.0
BALON,YARA,49.0
JORAH,KOVARRO,15.0
AMORY,TYWIN,14.0
MATTHOS,SALLADHOR,14.0
BRONN,HOUND,16.0
CATELYN,STANNIS,13.0
DONTOS,JOFFREY,19.0
DOREAH,XARO,13.0
HAYLENE,TYRION,13.0
JEOR,QHORIN,13.0
MERYN_TRANT,TYRION,29.0
CERSEI,MYRCELLA,34.0
DAVOS,RENLY,12.0
JOFFREY,LANCEL,12.0
JON,LORD_OF_BONES,20.0
JORAH,XARO,12.0
MOUNTAIN,TYWIN,20.0
BRONN,VARYS,16.0
CATELYN,TALISA,44.0
CERSEI,JANOS,11.0
SHAE,VARYS,33.0
BRONN,HAYLENE,10.0
CRESSEN,MELISANDRE,10.0
GILLY,JON,25.0
HOT_PIE,LOMMY,10.0
KOVARRO,XARO,10.0
PODRICK,VARYS,17.0
QHORIN,LORD_OF_BONES,10.0
ALTON,CERSEI,9.0
BRONN,JOFFREY,15.0
CATELYN,LORAS,9.0
HODOR,MAESTER_LUWIN,9.0
HOUND,LANCEL,9.0
JAQEN,RORGE,9.0
JOFFREY,ROS,9.0
JOFFREY,STANNIS,14.0
MANCE,QHORIN,9.0
PYATT_PREE,XARO,9.0
SANSA,TOMMEN,13.0
AMORY,YOREN,8.0
ARYA,BITER,8.0
BALON,ROBB,10.0
BITER,RORGE,10.0
CATELYN,JACKS,8.0
EDDISON_TOLLETT,JON,117.0
JOFFREY,LORAS,19.0
JOFFREY,MYRCELLA,8.0
MANDON,TYRION,8.0
MELISANDRE,RENLY,8.0
REGINALD,TYWIN,8.0
ARYA,POLLIVER,26.0
BLACK_LORREN,DAGMER,7.0
BRIENNE,JACKS,7.0
BRIENNE,LORAS,9.0
DAISY,JOFFREY,7.0
THEON,WINTERFELL_SHEPHERD,7.0
ARYA,LOMMY,8.0
ARYA,MOUNTAIN,10.0
BRAN,DAGMER,6.0
BRAN,FARLEN,6.0
BRONN,LANCEL,6.0
BRONN,PYCELLE,8.0
CRASTER,GILLY,6.0
GENDRY,TICKLER,6.0
LOMMY,POLLIVER,6.0
MANCE,YGRITTE,16.0
MANDON,PODRICK,6.0
RICKON,THEON,13.0
ROOSE_BOLTON,TALISA,13.0
ALTON,TORRHEN,5.0
ARYA,TICKLER,5.0
BALON,NED,5.0
BITER,JAQEN,5.0
BRIENNE,MARGAERY,17.0
BRIENNE,ROBB,5.0
BRIENNE,STANNIS,18.0
BRONN,MERYN_TRANT,13.0
CATELYN,MARGAERY,5.0
CERSEI,LORAS,48.0
CRASTER,SAM,13.0
CRESSEN,STANNIS,5.0
DAGMER,MAESTER_LUWIN,5.0
DROWNED_PRIEST,THEON,5.0
GERARD,RENLY,5.0
JOFFREY,PODRICK,10.0
JON,MANCE,124.0
JORAH,PYATT_PREE,5.0
LORAS,STANNIS,5.0
MYRCELLA,SANSA,5.0
MYRCELLA,TOMMEN,9.0
PYCELLE,TIMETT,5.0
QHORIN,SAM,5.0
TYWIN,VARYS,33.0
ALTON,RICKARD_KARSTARK,4.0
BARRA,MHAEGEN,4.0
BRONN,SANSA,7.0
BRONN,TIMETT,4.0
CATELYN,COLEN,4.0
CATELYN,ROOSE_BOLTON,17.0
CERSEI,PODRICK,9.0
DAENERYS,QUAITHE,4.0
DAENERYS,SILK_KING,4.0
DAGMER,RICKON,4.0
DONTOS,MERYN_TRANT,4.0
DOREAH,KOVARRO,4.0
EDDISON_TOLLETT,GILLY,8.0
GENDRY,JAQEN,4.0
GENDRY,LOMMY,4.0
GENDRY,TYWIN,6.0
HAYLENE,HOUND,4.0
HAYLENE,JOFFREY,4.0
HOUND,PODRICK,16.0
ILYN_PAYNE,SHAE,4.0
JAIME,RICKARD_KARSTARK,4.0
JAIME,STANNIS,9.0
JANOS,JOFFREY,4.0
JANOS,MHAEGEN,4.0
JANOS,ROS,4.0
JOFFREY,MANDON,4.0
JOFFREY,MARGAERY,110.0
LANCEL,SANSA,4.0
